Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
David Junc\u00e0,51,1,0,0,0,1,0
Dani Garc\u00eda,78,0,0,0,1,0,1
Kike Garc\u00eda,87,0,1,0,0,0,1
Ander Capa,90,1,0,0,0,0,1
T. Inui,90,0,0,0,1,0,1
Arbilla,90,1,0,0,0,0,1
Paulo Oliveira,90,1,0,0,0,0,1
Sergi Enrich,90,0,1,0,0,0,1
Joan Jord\u00e1n,90,0,0,0,1,0,1
M. Dmitrovi\u0107,90,0,0,1,0,1,0
Iv\u00e1n Alejo,90,0,0,0,1,0,1
Jos\u00e9 \u00c1ngel,39,1,0,0,0,1,0
G. Escalante,12,0,0,0,1,0,1
Imanol Sarriegi,3,0,0,0,1,0,1
