Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
Ramiro Funes Mori,46,1,0,0,0,1,0
C. Tosun,61,0,1,0,0,0,1
T. Davies,83,0,0,0,1,0,1
P. Jagielka,90,1,0,0,0,0,1
L. Baines,90,1,0,0,0,1,0
O. Niasse,90,0,1,0,0,0,1
J. Pickford,90,0,0,1,0,1,0
I. Gueye,90,0,0,0,1,0,1
M. Schneiderlin,90,0,0,0,1,0,1
M. Keane,90,1,0,0,0,0,1
S. Coleman,90,1,0,0,0,0,1
D. Klaassen,44,0,0,0,1,0,1
T. Walcott,29,0,1,0,0,0,1
Y. Bolasie,7,0,0,0,1,0,1
