Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
I\u00f1igo C\u00f3rdoba,72,0,0,0,1,1,0
Ra\u00fal Garc\u00eda,79,0,0,0,1,0,1
Balenziaga,81,1,0,0,0,1,0
Arrizabalaga,90,0,0,1,0,0,1
\u00cd\u00f1igo Mart\u00ednez,90,1,0,0,0,1,0
Iturraspe,90,0,0,0,1,0,1
San Jos\u00e9,90,0,0,0,1,0,1
Unai N\u00fa\u00f1ez,90,1,0,0,0,0,1
Susaeta,90,0,0,0,1,0,1
I\u00f1aki Williams,90,0,1,0,0,0,1
De Marcos,90,1,0,0,0,0,1
Aduriz,18,0,1,0,0,0,1
Be\u00f1at,11,0,0,0,1,0,1
Lekue,9,1,0,0,0,0,1
