Source,Target,Weight
I. Amadou,K. Dabila,5
F. Tour\u00e9,Thiago Maia,4
I. Amadou,A. Soumaoro,4
F. Tour\u00e9,Luiz Ara\u00fajo,4
K. Dabila,I. Amadou,4
A. Soumaoro,K. Dabila,4
Thiago Maia,I. Amadou,3
Luiz Ara\u00fajo,F. Tour\u00e9,3
J. Alonso,I. Amadou,3
Thiago Maia,Luiz Ara\u00fajo,3
Thiago Maia,F. Tour\u00e9,3
Thiago Mendes,K. Dabila,3
J. Alonso,Thiago Maia,3
Thiago Maia,L. Mothiba,2
Luiz Ara\u00fajo,Thiago Maia,2
A. Soumaoro,Thiago Maia,2
Luiz Ara\u00fajo,M. Maignan,2
L. Mothiba,Thiago Mendes,2
Thiago Maia,J. Alonso,2
K. Dabila,Thiago Maia,2
J. Alonso,L. Mothiba,1
I. Amadou,Thiago Maia,1
J. Alonso,F. Tour\u00e9,1
K. Dabila,N. P\u00e9p\u00e9,1
L. Mothiba,Luiz Ara\u00fajo,1
K. Dabila,Thiago Mendes,1
Thiago Maia,N. P\u00e9p\u00e9,1
I. Amadou,F. Tour\u00e9,1
L. Mothiba,Thiago Maia,1
L. Mothiba,F. Tour\u00e9,1
K. Dabila,A. Soumaoro,1
Thiago Maia,A. Soumaoro,1
Thiago Mendes,J. Alonso,1
K. Dabila,J. Alonso,1
I. Amadou,J. Alonso,1
A. Soumaoro,J. Alonso,1
M. Maignan,I. Amadou,1
F. Tour\u00e9,J. Alonso,1
F. Tour\u00e9,I. Amadou,1
Luiz Ara\u00fajo,L. Mothiba,1
Thiago Mendes,A. Soumaoro,1
M. Maignan,Thiago Maia,1
N. P\u00e9p\u00e9,I. Amadou,1
K. Dabila,M. Maignan,1
A. Soumaoro,F. Tour\u00e9,1
M. Maignan,Thiago Mendes,1
Luiz Ara\u00fajo,Thiago Mendes,1
Thiago Maia,Thiago Mendes,1
N. P\u00e9p\u00e9,A. Soumaoro,1
Thiago Mendes,L. Mothiba,1
K. Dabila,Luiz Ara\u00fajo,1
Thiago Mendes,I. Amadou,1
I. Amadou,Thiago Mendes,1
