Source,Target,Weight
D. Astori,J. Veretout,3
F. Chiesa,J. Veretout,2
J. Veretout,D. Astori,2
N. Milenkovi\u0107,V. Laurini,2
V. Laurini,N. Milenkovi\u0107,2
C. Biraghi,J. Veretout,2
N. Milenkovi\u0107,D. Astori,2
Gil Dias,V. Laurini,2
M. Badelj,C. Biraghi,1
V. Laurini,M. Badelj,1
D. Astori,N. Milenkovi\u0107,1
J. Veretout,N. Milenkovi\u0107,1
V. Laurini,Gil Dias,1
C. Biraghi,F. Chiesa,1
J. Veretout,M. Badelj,1
J. Veretout,C. Biraghi,1
M. Badelj,Gil Dias,1
V. Laurini,C. Biraghi,1
Gil Dias,R. Saponara,1
J. Veretout,R. Saponara,1
R. Saponara,J. Veretout,1
J. Veretout,F. Chiesa,1
J. Veretout,Gil Dias,1
