Source,Target,Weight
R. Rodr\u00edguez,A. Romagnoli,3
A. Romagnoli,G. Donnarumma,2
L. Biglia,R. Rodr\u00edguez,2
G. Donnarumma,L. Biglia,2
L. Bonucci,Andr\u00e9 Silva,1
M. Musacchio,A. Romagnoli,1
R. Rodr\u00edguez,G. Donnarumma,1
F. Borini,M. Musacchio,1
M. Musacchio,R. Rodr\u00edguez,1
N. Kalini\u0107,F. Kessi\u00e9,1
Andr\u00e9 Silva,F. Borini,1
R. Rodr\u00edguez,F. Borini,1
F. Kessi\u00e9,R. Rodr\u00edguez,1
A. Romagnoli,R. Rodr\u00edguez,1
L. Biglia,L. Bonucci,1
F. Borini,L. Biglia,1
R. Rodr\u00edguez,L. Biglia,1
H. \u00c7alhano\u011flu,M. Musacchio,1
G. Donnarumma,Andr\u00e9 Silva,1
L. Biglia,H. \u00c7alhano\u011flu,1
Andr\u00e9 Silva,R. Rodr\u00edguez,1
A. Romagnoli,N. Kalini\u0107,1
