Name,Field Time,Position_DEF,Position_GKP,Position_MID,Foot_left,Foot_right,Position_FWD
W. Zaha,77,0,0,1,0,1,0
J. McArthur,88,0,0,1,0,1,0
Y. Cabaye,90,0,0,1,0,1,0
J. Ward,90,1,0,0,0,1,0
L. Milivojevi\u0107,90,0,0,1,0,1,0
J. Schlupp,90,1,0,0,1,0,0
M. Sakho,90,1,0,0,1,0,0
P. van Aanholt,90,1,0,0,1,0,0
A. Townsend,90,0,0,1,1,0,0
S. Dann,90,1,0,0,0,1,0
J. Speroni,90,0,1,0,0,1,0
R. Loftus-Cheek,13,0,0,1,0,1,0
B. Sako,2,0,0,1,1,0,0
