Source,Target,Weight
J. Gomez,J. Matip,6
S. Man\u00e9,Alberto Moreno,5
A. Oxlade-Chamberlain,J. Gomez,4
J. Matip,G. Wijnaldum,4
D. Lovren,Alberto Moreno,4
G. Wijnaldum,J. Gomez,4
J. Gomez,A. Oxlade-Chamberlain,3
G. Wijnaldum,J. Matip,3
J. Matip,J. Gomez,3
Roberto Firmino,S. Man\u00e9,3
J. Matip,A. Oxlade-Chamberlain,3
Alberto Moreno,S. Man\u00e9,3
J. Gomez,G. Wijnaldum,3
Alberto Moreno,D. Lovren,2
A. Oxlade-Chamberlain,S. Man\u00e9,2
S. Man\u00e9,Roberto Firmino,2
Alberto Moreno,Roberto Firmino,2
D. Solanke,A. Oxlade-Chamberlain,2
J. Matip,E. Can,2
Alberto Moreno,E. Can,2
E. Can,D. Lovren,2
E. Can,J. Matip,2
J. Matip,S. Mignolet,2
S. Mignolet,J. Gomez,2
D. Solanke,Roberto Firmino,2
A. Oxlade-Chamberlain,D. Lovren,2
Roberto Firmino,J. Gomez,1
D. Lovren,E. Can,1
S. Mignolet,S. Man\u00e9,1
G. Wijnaldum,D. Solanke,1
J. Gomez,E. Can,1
A. Oxlade-Chamberlain,G. Wijnaldum,1
J. Gomez,Alberto Moreno,1
S. Man\u00e9,E. Can,1
A. Oxlade-Chamberlain,Roberto Firmino,1
E. Can,A. Oxlade-Chamberlain,1
D. Lovren,D. Solanke,1
Roberto Firmino,Alberto Moreno,1
E. Can,D. Solanke,1
Roberto Firmino,G. Wijnaldum,1
G. Wijnaldum,A. Oxlade-Chamberlain,1
E. Can,S. Mignolet,1
D. Lovren,Roberto Firmino,1
S. Mignolet,D. Lovren,1
J. Gomez,D. Lovren,1
Alberto Moreno,J. Matip,1
Roberto Firmino,D. Solanke,1
D. Lovren,J. Gomez,1
E. Can,J. Gomez,1
A. Oxlade-Chamberlain,J. Matip,1
Roberto Firmino,A. Oxlade-Chamberlain,1
E. Can,G. Wijnaldum,1
G. Wijnaldum,Roberto Firmino,1
J. Gomez,S. Mignolet,1
Roberto Firmino,E. Can,1
A. Oxlade-Chamberlain,E. Can,1
S. Man\u00e9,J. Matip,1
