Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
P. Cutrone,70,0,1,0,0,0,1
N. Kalini\u0107,78,0,1,0,0,0,1
G. Bonaventura,85,0,0,0,1,0,1
H. \u00c7alhano\u011flu,90,0,0,0,1,0,1
D. Calabria,90,1,0,0,0,0,1
G. Donnarumma,90,0,0,1,0,0,1
F. Kessi\u00e9,90,0,0,0,1,0,1
R. Rodr\u00edguez,90,1,0,0,0,1,0
M. Locatelli,90,0,0,0,1,0,1
L. Bonucci,90,1,0,0,0,0,1
A. Romagnoli,90,1,0,0,0,1,0
Andr\u00e9 Silva,20,0,1,0,0,0,1
L. Antonelli,12,1,0,0,0,1,0
E. Torrasi,5,0,0,0,1,0,1
