Source,Target,Weight
V. Manceau,P. Capelle,6
K. Toko Ekambi,V. Manceau,5
V. Manceau,L. Coulibaly,4
I. Traor\u00e9,V. Manceau,4
T. Mangani,A. Bamba,4
P. Capelle,K. Toko Ekambi,3
V. Manceau,K. Toko Ekambi,3
A. Bamba,F. Tait,3
I. Traor\u00e9,P. Capelle,3
B. Santamaria,K. Toko Ekambi,3
P. Capelle,T. Mangani,3
L. Butelle,P. Capelle,2
F. Tait,A. Bamba,2
M. Pavlovi\u0107,V. Manceau,2
P. Capelle,F. Tait,2
F. Tait,M. Pavlovi\u0107,2
K. Toko Ekambi,M. Pavlovi\u0107,2
F. Tait,B. Santamaria,2
P. Capelle,V. Manceau,2
L. Coulibaly,V. Manceau,2
P. Capelle,L. Coulibaly,2
T. Mangani,B. Santamaria,2
V. Manceau,I. Traor\u00e9,2
A. Bamba,L. Butelle,2
M. Pavlovi\u0107,I. Traor\u00e9,2
L. Coulibaly,I. Traor\u00e9,2
K. Toko Ekambi,B. Santamaria,2
L. Coulibaly,P. Capelle,1
M. Pavlovi\u0107,B. Santamaria,1
I. Traor\u00e9,A. Bamba,1
B. Santamaria,A. Bamba,1
A. Bamba,B. Santamaria,1
I. Traor\u00e9,F. Tait,1
V. Manceau,A. Bamba,1
B. Santamaria,T. Mangani,1
L. Butelle,T. Mangani,1
B. Santamaria,V. Manceau,1
V. Manceau,F. Tait,1
F. Tait,K. Toko Ekambi,1
A. Bamba,T. Mangani,1
P. Capelle,M. Pavlovi\u0107,1
A. Bamba,V. Manceau,1
K. Toko Ekambi,I. Traor\u00e9,1
K. Toko Ekambi,F. Tait,1
F. Tait,T. Mangani,1
A. Bamba,K. Toko Ekambi,1
B. Santamaria,M. Pavlovi\u0107,1
A. Bamba,I. Traor\u00e9,1
B. Santamaria,I. Traor\u00e9,1
M. Pavlovi\u0107,L. Butelle,1
L. Coulibaly,M. Pavlovi\u0107,1
T. Mangani,P. Capelle,1
M. Pavlovi\u0107,F. Tait,1
T. Mangani,K. Toko Ekambi,1
I. Traor\u00e9,L. Butelle,1
L. Butelle,M. Pavlovi\u0107,1
F. Tait,L. Butelle,1
B. Santamaria,P. Capelle,1
L. Butelle,I. Traor\u00e9,1
T. Mangani,F. Tait,1
K. Toko Ekambi,T. Mangani,1
M. Pavlovi\u0107,T. Mangani,1
P. Capelle,A. Bamba,1
