Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
P. Piatti,73,0,1,0,0,1,0
L\u00e9o Baptist\u00e3o,81,0,1,0,0,0,1
Marc Navarro,86,1,0,0,0,0,1
Aar\u00f3n,90,1,0,0,0,1,0
Pau L\u00f3pez,90,0,0,1,0,1,0
Granero,90,0,0,0,1,0,1
V\u00edctor S\u00e1nchez,90,0,0,0,1,0,1
C. S\u00e1nchez,90,0,0,0,1,0,1
David L\u00f3pez,90,1,0,0,0,0,1
\u00d3. Duarte,90,1,0,0,0,0,1
Gerard Moreno,90,0,1,0,0,1,0
\u00d3scar Melendo,17,0,0,0,1,1,0
Jurado,9,0,0,0,1,0,1
Javi L\u00f3pez,4,1,0,0,0,0,1
