Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
Antonio Sivera,63,0,0,1,0,0,1
J. Guidetti,72,0,1,0,0,0,1
M. Wakaso,79,0,0,0,1,1,0
Munir,90,0,1,0,0,1,0
Adri\u00e1n Di\u00e9guez,90,1,0,0,0,1,0
Laguardia,90,1,0,0,0,0,1
Tom\u00e1s Pina,90,0,0,0,1,0,1
Rub\u00e9n Sobrino,90,0,1,0,0,0,1
G. Marip\u00e1n,90,1,0,0,0,0,1
Alexis,90,1,0,0,0,0,1
Alfonso Pedraza,90,0,0,0,1,1,0
Fernando Pacheco,27,0,0,1,0,1,0
Ibai G\u00f3mez,18,0,0,0,1,0,1
Manu Garc\u00eda,11,0,0,0,1,1,0
