Source,Target,Weight
I. Sarr,B. Bourigeaud,3
H. Traor\u00e9,R. Bensebaini,2
B. Andr\u00e9,I. Sarr,2
R. Bensebaini,H. Traor\u00e9,2
W. Khazri,B. Andr\u00e9,2
M. Amalfitano,R. Bensebaini,1
B. Bourigeaud,H. Traor\u00e9,1
B. Andr\u00e9,W. Khazri,1
R. Bensebaini,W. Khazri,1
R. Bensebaini,J. Gnagnon,1
B. Bourigeaud,S. Prci\u0107,1
J. Gnagnon,B. Andr\u00e9,1
H. Traor\u00e9,B. Bourigeaud,1
I. Sarr,B. Andr\u00e9,1
B. Bourigeaud,M. Amalfitano,1
I. Sarr,L. Baal,1
B. Andr\u00e9,L. Baal,1
J. Gnagnon,I. Sarr,1
B. Andr\u00e9,S. Prci\u0107,1
L. Baal,J. Gnagnon,1
L. Baal,M. Amalfitano,1
L. Baal,B. Andr\u00e9,1
B. Bourigeaud,I. Sarr,1
S. Prci\u0107,R. Bensebaini,1
M. Amalfitano,I. Sarr,1
