Source,Target,Weight
S. San\u00e9,Felipe,4
F. Klaus,Miiko Albornoz,4
I. Fossum,Miiko Albornoz,3
Miiko Albornoz,Felipe,3
O. Sorg,W. Anton,3
Felipe,S. San\u00e9,3
W. Anton,O. Sorg,3
Miiko Albornoz,W. Anton,3
Felipe,F. Klaus,3
P. Tschauner,Miiko Albornoz,2
Felipe,Miiko Albornoz,2
Miiko Albornoz,I. Fossum,2
I. Fossum,I. Bebou,2
Miiko Albornoz,N. F\u00fcllkrug,2
I. Bebou,I. Fossum,2
Miiko Albornoz,F. Klaus,2
Felipe,W. Anton,2
I. Bebou,O. Sorg,2
W. Anton,Felipe,2
W. Anton,P. Tschauner,2
Felipe,I. Bebou,2
F. Klaus,W. Anton,1
Felipe,P. Tschauner,1
Miiko Albornoz,S. San\u00e9,1
W. Anton,F. Klaus,1
S. San\u00e9,I. Fossum,1
S. San\u00e9,P. Tschauner,1
O. Sorg,S. San\u00e9,1
O. Sorg,Felipe,1
I. Fossum,S. San\u00e9,1
Miiko Albornoz,I. Bebou,1
F. Klaus,M. Harnik,1
Miiko Albornoz,M. Harnik,1
F. Klaus,Felipe,1
I. Fossum,O. Sorg,1
N. F\u00fcllkrug,S. San\u00e9,1
M. Harnik,Miiko Albornoz,1
I. Bebou,Felipe,1
O. Sorg,P. Tschauner,1
W. Anton,I. Fossum,1
O. Sorg,I. Fossum,1
M. Harnik,F. Klaus,1
P. Tschauner,W. Anton,1
Felipe,I. Fossum,1
N. F\u00fcllkrug,Miiko Albornoz,1
P. Tschauner,Felipe,1
P. Tschauner,I. Bebou,1
I. Bebou,Miiko Albornoz,1
S. San\u00e9,O. Sorg,1
W. Anton,Miiko Albornoz,1
