Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
N. F\u00fcllkrug,78,0,1,0,0,0,1
P. Schwegler,81,0,0,0,1,0,1
I. Bebou,89,0,1,0,0,0,1
S. San\u00e9,90,1,0,0,0,0,1
W. Anton,90,1,0,0,0,0,1
J. Korb,90,1,0,0,0,0,1
M. Bakalorz,90,0,0,0,1,0,1
K. Karaman,90,0,1,0,0,1,0
P. Tschauner,90,0,0,1,0,0,1
M. Harnik,90,0,1,0,0,0,1
M. Ostrzolek,90,1,0,0,0,1,0
F. Klaus,12,0,0,0,1,0,1
M. Schmiedebach,9,0,0,0,1,0,1
C. Benschop,1,0,1,0,0,0,1
