Source,Target,Weight
E. Schelotto,G. Murray,3
D. Stephens,E. Schelotto,3
P. Gro\u00df,D. Pr\u00f6pper,2
G. Murray,D. Pr\u00f6pper,2
D. Pr\u00f6pper,G. Murray,2
D. Pr\u00f6pper,J. Izquierdo,2
G. Bong,G. Murray,2
D. Stephens,S. March,2
S. March,P. Gro\u00df,2
D. Pr\u00f6pper,D. Stephens,2
G. Bong,L. Dunk,2
E. Schelotto,S. March,2
D. Pr\u00f6pper,G. Bong,2
G. Bong,P. Gro\u00df,1
P. Gro\u00df,D. Stephens,1
S. Duffy,E. Schelotto,1
G. Murray,S. March,1
G. Bong,D. Pr\u00f6pper,1
J. Izquierdo,D. Pr\u00f6pper,1
M. Ryan,G. Bong,1
J. Izquierdo,G. Bong,1
G. Murray,J. Izquierdo,1
J. Izquierdo,S. March,1
S. March,E. Schelotto,1
P. Gro\u00df,J. Izquierdo,1
E. Schelotto,D. Pr\u00f6pper,1
D. Pr\u00f6pper,P. Gro\u00df,1
S. March,J. Izquierdo,1
E. Schelotto,D. Stephens,1
L. Dunk,S. Duffy,1
P. Gro\u00df,S. March,1
S. Duffy,G. Murray,1
J. Izquierdo,P. Gro\u00df,1
G. Murray,S. Duffy,1
M. Ryan,D. Pr\u00f6pper,1
G. Murray,D. Stephens,1
S. Duffy,S. March,1
G. Murray,E. Schelotto,1
S. March,D. Stephens,1
L. Dunk,M. Ryan,1
S. March,D. Pr\u00f6pper,1
S. March,M. Ryan,1
J. Izquierdo,L. Dunk,1
L. Dunk,G. Bong,1
S. March,S. Duffy,1
G. Murray,G. Bong,1
