Source,Target,Weight
Javi L\u00f3pez,L\u00e9o Baptist\u00e3o,3
V\u00edctor S\u00e1nchez,David L\u00f3pez,3
David L\u00f3pez,Javi L\u00f3pez,2
L\u00e9o Baptist\u00e3o,Gerard Moreno,2
Marc Roca,David L\u00f3pez,1
Javi L\u00f3pez,V\u00edctor S\u00e1nchez,1
Sergio Garc\u00eda,Marc Roca,1
V\u00edctor S\u00e1nchez,Marc Roca,1
Marc Roca,V\u00edctor S\u00e1nchez,1
L\u00e9o Baptist\u00e3o,D\u00eddac Vil\u00e1,1
D\u00eddac Vil\u00e1,Sergio Garc\u00eda,1
David L\u00f3pez,V\u00edctor S\u00e1nchez,1
David L\u00f3pez,Sergio Garc\u00eda,1
Naldo,D\u00eddac Vil\u00e1,1
Gerard Moreno,L\u00e9o Baptist\u00e3o,1
L\u00e9o Baptist\u00e3o,Diego L\u00f3pez,1
David L\u00f3pez,L\u00e9o Baptist\u00e3o,1
Marc Roca,Javi L\u00f3pez,1
D\u00eddac Vil\u00e1,Diego L\u00f3pez,1
Diego L\u00f3pez,Javi L\u00f3pez,1
L\u00e9o Baptist\u00e3o,V\u00edctor S\u00e1nchez,1
D\u00eddac Vil\u00e1,David L\u00f3pez,1
Marc Roca,D\u00eddac Vil\u00e1,1
V\u00edctor S\u00e1nchez,Diego L\u00f3pez,1
Diego L\u00f3pez,Gerard Moreno,1
Diego L\u00f3pez,David L\u00f3pez,1
David L\u00f3pez,Marc Roca,1
Gerard Moreno,V\u00edctor S\u00e1nchez,1
V\u00edctor S\u00e1nchez,D\u00eddac Vil\u00e1,1
Sergio Garc\u00eda,V\u00edctor S\u00e1nchez,1
V\u00edctor S\u00e1nchez,Gerard Moreno,1
D\u00eddac Vil\u00e1,Marc Roca,1
Gerard Moreno,Naldo,1
