Source,Target,Weight
M. Benatia,S. Lichtsteiner,7
M. Benatia,B. H\u00f6wedes,6
G. Buffon,B. H\u00f6wedes,6
K. Asamoah,M. Benatia,6
B. H\u00f6wedes,K. Asamoah,6
B. H\u00f6wedes,G. Buffon,5
B. Matuidi,M. Benatia,5
M. Benatia,G. Buffon,5
Douglas Costa,S. Lichtsteiner,5
B. Matuidi,K. Asamoah,4
S. Lichtsteiner,G. Buffon,4
K. Asamoah,B. H\u00f6wedes,4
S. Lichtsteiner,S. Khedira,4
G. Buffon,Douglas Costa,4
M. Pjani\u0107,Douglas Costa,4
B. H\u00f6wedes,M. Benatia,4
M. Benatia,K. Asamoah,4
K. Asamoah,B. Matuidi,4
G. Buffon,K. Asamoah,3
K. Asamoah,M. Pjani\u0107,3
M. Benatia,Douglas Costa,3
Douglas Costa,M. Pjani\u0107,3
Douglas Costa,M. Benatia,3
G. Buffon,M. Benatia,3
S. Lichtsteiner,Douglas Costa,3
S. Lichtsteiner,M. Benatia,3
M. Pjani\u0107,B. Matuidi,3
K. Asamoah,G. Higua\u00edn,3
M. Benatia,M. Pjani\u0107,3
J. Cuadrado,M. Benatia,2
B. Matuidi,Douglas Costa,2
B. H\u00f6wedes,S. Lichtsteiner,2
S. Khedira,M. Benatia,2
P. Dybala,K. Asamoah,2
S. Lichtsteiner,J. Cuadrado,2
M. Benatia,P. Dybala,2
G. Higua\u00edn,B. Matuidi,2
S. Khedira,M. Pjani\u0107,2
G. Higua\u00edn,M. Benatia,2
S. Lichtsteiner,G. Higua\u00edn,2
P. Dybala,Douglas Costa,2
M. Pjani\u0107,K. Asamoah,2
Douglas Costa,B. Matuidi,2
S. Khedira,B. Matuidi,2
G. Buffon,S. Lichtsteiner,2
K. Asamoah,Douglas Costa,2
P. Dybala,M. Pjani\u0107,2
B. H\u00f6wedes,B. Matuidi,2
Douglas Costa,K. Asamoah,2
M. Pjani\u0107,B. H\u00f6wedes,2
M. Pjani\u0107,G. Higua\u00edn,2
K. Asamoah,G. Buffon,2
J. Cuadrado,G. Buffon,2
B. Matuidi,S. Lichtsteiner,2
B. Matuidi,M. Pjani\u0107,1
G. Higua\u00edn,K. Asamoah,1
B. H\u00f6wedes,P. Dybala,1
Douglas Costa,G. Higua\u00edn,1
G. Higua\u00edn,M. Pjani\u0107,1
B. Matuidi,J. Cuadrado,1
M. Pjani\u0107,G. Buffon,1
S. Lichtsteiner,M. Pjani\u0107,1
B. Matuidi,G. Buffon,1
P. Dybala,M. Benatia,1
G. Buffon,P. Dybala,1
M. Pjani\u0107,M. Benatia,1
J. Cuadrado,G. Higua\u00edn,1
G. Buffon,J. Cuadrado,1
M. Pjani\u0107,P. Dybala,1
B. Matuidi,P. Dybala,1
S. Lichtsteiner,B. Matuidi,1
Douglas Costa,J. Cuadrado,1
P. Dybala,B. H\u00f6wedes,1
G. Buffon,S. Khedira,1
G. Higua\u00edn,B. H\u00f6wedes,1
P. Dybala,S. Khedira,1
M. Pjani\u0107,S. Lichtsteiner,1
M. Benatia,S. Khedira,1
G. Buffon,M. Pjani\u0107,1
S. Khedira,S. Lichtsteiner,1
G. Higua\u00edn,G. Buffon,1
G. Higua\u00edn,S. Lichtsteiner,1
M. Pjani\u0107,S. Khedira,1
P. Dybala,B. Matuidi,1
Douglas Costa,G. Buffon,1
J. Cuadrado,S. Khedira,1
Douglas Costa,S. Khedira,1
S. Khedira,P. Dybala,1
S. Lichtsteiner,P. Dybala,1
Douglas Costa,P. Dybala,1
M. Benatia,J. Cuadrado,1
G. Higua\u00edn,P. Dybala,1
S. Khedira,J. Cuadrado,1
S. Khedira,G. Higua\u00edn,1
