Source,Target,Weight
N. Milenkovi\u0107,S. Crist\u00f3foro,3
N. Milenkovi\u0107,Bruno Gaspar,3
B. Dabo,M. Olivera,3
R. Saponara,F. Chiesa,3
M. Olivera,N. Milenkovi\u0107,3
M. Olivera,B. Dabo,3
Bruno Gaspar,B. Dabo,2
Bruno Gaspar,S. Crist\u00f3foro,2
M. Olivera,B. Dr\u0105gowski,2
F. Chiesa,M. Olivera,2
S. Crist\u00f3foro,M. Olivera,2
S. Crist\u00f3foro,N. Milenkovi\u0107,1
B. Dr\u0105gowski,N. Milenkovi\u0107,1
C. Biraghi,N. Milenkovi\u0107,1
B. Dabo,M. Benassi,1
B. Dr\u0105gowski,M. Olivera,1
G. Simeone,R. Saponara,1
F. Chiesa,N. Milenkovi\u0107,1
R. Saponara,Bruno Gaspar,1
S. Crist\u00f3foro,B. Dabo,1
M. Benassi,F. Chiesa,1
B. Dabo,Bruno Gaspar,1
N. Milenkovi\u0107,C. Biraghi,1
M. Benassi,R. Saponara,1
M. Benassi,G. Simeone,1
Bruno Gaspar,N. Milenkovi\u0107,1
M. Olivera,F. Chiesa,1
S. Crist\u00f3foro,M. Benassi,1
F. Chiesa,R. Saponara,1
M. Olivera,C. Biraghi,1
C. Biraghi,M. Olivera,1
B. Dabo,R. Saponara,1
G. Simeone,M. Benassi,1
B. Dabo,N. Milenkovi\u0107,1
N. Milenkovi\u0107,M. Olivera,1
N. Milenkovi\u0107,B. Dabo,1
N. Milenkovi\u0107,G. Simeone,1
