Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
Richarlison,66,0,1,0,0,0,1
T. Cleverley,72,0,0,0,1,0,1
Deulofeu,82,0,1,0,0,0,1
J. Holebas,90,1,0,0,0,1,0
E. Capoue,90,0,0,0,1,0,1
A. Doucour\u00e9,90,0,0,0,1,0,1
S. Pr\u00f6dl,90,1,0,0,0,0,1
C. Kabasele,90,1,0,0,0,0,1
O. Karnezis,90,0,0,1,0,0,1
A. Mariappa,90,1,0,0,0,0,1
T. Deeney,90,0,1,0,0,0,1
A. Gray,24,0,1,0,0,0,1
R. Pereyra,18,0,0,0,1,0,1
A. Carrillo,8,0,0,0,1,0,1
