Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
J. Narv\u00e1ez,68,0,0,0,1,0,1
Mat\u00edas Nahuel,72,0,0,0,1,0,1
V\u00edctor Camarasa,78,0,0,0,1,0,1
A. Mandi,90,1,0,0,0,0,1
A. To\u0219ca,90,1,0,0,0,1,0
Joaqu\u00edn,90,0,0,0,1,0,1
A. Guardado,90,0,0,0,1,1,0
Ad\u00e1n,90,0,0,1,0,1,0
Z. Feddal,90,1,0,0,0,1,0
Sergio Le\u00f3n,90,0,1,0,0,0,1
Barrag\u00e1n,90,1,0,0,0,0,1
Javi Garc\u00eda,22,0,0,0,1,0,1
Francis Guerrero,18,0,1,0,0,0,1
Fabi\u00e1n,12,0,0,0,1,1,0
