Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_right,Foot_left
G. Shibasaki,73,0,0,0,1,1,0
Jorge Molina,80,0,1,0,0,1,0
Markel Bergara,89,0,0,0,1,1,0
A. Ndiaye,90,0,1,0,0,1,0
D. Su\u00e1rez,90,1,0,0,0,1,0
\u00c1lvaro Jim\u00e9nez,90,0,0,0,1,1,0
Juan Cala,90,1,0,0,0,1,0
Djen\u00e9,90,1,0,0,0,1,0
Molinero,90,1,0,0,0,1,0
F. Fajr,90,0,0,0,1,1,0
Guaita,90,0,0,1,0,1,0
Sergio Mora,17,0,0,0,1,1,0
\u00c1ngel,10,0,1,0,0,1,0
M. Arambarri,1,0,0,0,1,1,0
