Source,Target,Weight
M. Politano,F. Acerbi,4
D. Berardi,F. Magnanelli,3
Pol Lirola,D. Berardi,3
F. Acerbi,M. Politano,2
F. Peluso,F. Acerbi,2
F. Acerbi,F. Peluso,2
F. Peluso,M. Politano,2
F. Magnanelli,F. Peluso,2
F. Acerbi,F. Magnanelli,2
K. Babacar,M. Politano,2
F. Acerbi,E. Goldaniga,2
F. Magnanelli,E. Goldaniga,2
E. Goldaniga,F. Magnanelli,1
D. Berardi,M. Politano,1
D. Berardi,Pol Lirola,1
Pol Lirola,S. Missiroli,1
F. Peluso,A. Duncan,1
M. Politano,D. Berardi,1
F. Acerbi,K. Babacar,1
A. Consigli,Pol Lirola,1
A. Consigli,F. Magnanelli,1
M. Politano,F. Peluso,1
S. Missiroli,A. Duncan,1
F. Magnanelli,D. Berardi,1
A. Duncan,F. Acerbi,1
M. Politano,A. Duncan,1
A. Consigli,F. Peluso,1
F. Magnanelli,K. Babacar,1
S. Missiroli,F. Magnanelli,1
E. Goldaniga,K. Babacar,1
A. Duncan,A. Consigli,1
F. Peluso,F. Magnanelli,1
F. Peluso,A. Consigli,1
F. Magnanelli,Pol Lirola,1
F. Magnanelli,A. Consigli,1
A. Duncan,F. Peluso,1
E. Goldaniga,F. Acerbi,1
E. Goldaniga,Pol Lirola,1
F. Magnanelli,F. Acerbi,1
