Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
V\u00edctor S\u00e1nchez,58,0,0,0,1,0,1
Granero,67,0,0,0,1,0,1
\u00d3scar Melendo,80,0,0,0,1,1,0
Javi L\u00f3pez,90,1,0,0,0,0,1
Mario Hermoso,90,1,0,0,0,1,0
Pau L\u00f3pez,90,0,0,1,0,1,0
D\u00eddac Vil\u00e1,90,1,0,0,0,1,0
David L\u00f3pez,90,1,0,0,0,0,1
Sergi Darder,90,0,0,0,1,0,1
Gerard Moreno,90,0,1,0,0,1,0
Sergio Garc\u00eda,90,0,1,0,0,0,1
Marc Roca,32,0,0,0,1,1,0
L\u00e9o Baptist\u00e3o,23,0,1,0,0,0,1
Jurado,10,0,0,0,1,0,1
