Source,Target,Weight
P. Kade\u0159\u00e1bek,E. Bi\u010dak\u010di\u0107,5
P. Kade\u0159\u00e1bek,M. Uth,4
E. Bi\u010dak\u010di\u0107,P. Kade\u0159\u00e1bek,4
B. H\u00fcbner,P. Kade\u0159\u00e1bek,4
E. Bi\u010dak\u010di\u0107,K. Demirbay,4
S. Zuber,N. Amiri,3
B. H\u00fcbner,S. Zuber,3
K. Demirbay,B. H\u00fcbner,3
N. Amiri,S. Zuber,3
N. Schulz,N. Amiri,3
M. Uth,P. Kade\u0159\u00e1bek,3
M. Uth,K. Demirbay,3
K. Demirbay,S. Zuber,2
K. Demirbay,P. Kade\u0159\u00e1bek,2
O. Baumann,E. Bi\u010dak\u010di\u0107,2
N. Amiri,B. H\u00fcbner,2
N. Amiri,O. Baumann,2
K. Demirbay,N. Amiri,2
P. Kade\u0159\u00e1bek,A. Kramari\u0107,2
S. Zuber,P. Kade\u0159\u00e1bek,2
O. Baumann,M. Uth,2
P. Kade\u0159\u00e1bek,D. Geiger,2
P. Kade\u0159\u00e1bek,K. Demirbay,2
P. Kade\u0159\u00e1bek,B. H\u00fcbner,2
K. Demirbay,M. Uth,1
N. Amiri,P. Kade\u0159\u00e1bek,1
E. Polanski,N. Amiri,1
P. Kade\u0159\u00e1bek,E. Polanski,1
A. Kramari\u0107,P. Kade\u0159\u00e1bek,1
N. Amiri,E. Polanski,1
S. Zuber,K. Demirbay,1
H. Nordtveit,K. Demirbay,1
S. Zuber,E. Polanski,1
D. Geiger,O. Baumann,1
D. Geiger,K. Demirbay,1
N. Amiri,E. Bi\u010dak\u010di\u0107,1
O. Baumann,A. Kramari\u0107,1
S. Zuber,D. Geiger,1
B. H\u00fcbner,N. Amiri,1
M. Uth,E. Polanski,1
E. Polanski,S. Zuber,1
K. Demirbay,N. Schulz,1
D. Geiger,H. Nordtveit,1
N. Amiri,K. Demirbay,1
K. Demirbay,E. Polanski,1
E. Polanski,N. Schulz,1
A. Kramari\u0107,K. Demirbay,1
K. Demirbay,O. Baumann,1
D. Geiger,N. Amiri,1
E. Polanski,P. Kade\u0159\u00e1bek,1
K. Demirbay,E. Bi\u010dak\u010di\u0107,1
S. Zuber,B. H\u00fcbner,1
N. Amiri,D. Geiger,1
E. Bi\u010dak\u010di\u0107,N. Amiri,1
B. H\u00fcbner,O. Baumann,1
A. Kramari\u0107,B. H\u00fcbner,1
N. Amiri,N. Schulz,1
