Source,Target,Weight
Piqu\u00e9,Paulinho,2
Paulinho,L. Messi,2
Sergio Busquets,M. ter Stegen,1
Piqu\u00e9,I. Rakiti\u0107,1
Jordi Alba,Piqu\u00e9,1
N\u00e9lson Semedo,Piqu\u00e9,1
N\u00e9lson Semedo,M. ter Stegen,1
Jordi Alba,S. Umtiti,1
Paulinho,N\u00e9lson Semedo,1
L. Messi,L. Su\u00e1rez,1
M. ter Stegen,I. Rakiti\u0107,1
S. Umtiti,Paulinho,1
I. Rakiti\u0107,Sergio Busquets,1
I. Rakiti\u0107,Piqu\u00e9,1
L. Su\u00e1rez,L. Messi,1
Sergio Busquets,Jordi Alba,1
M. ter Stegen,N\u00e9lson Semedo,1
Paulinho,M. ter Stegen,1
Jordi Alba,L. Su\u00e1rez,1
M. ter Stegen,Sergio Busquets,1
L. Messi,Jordi Alba,1
L. Su\u00e1rez,Jordi Alba,1
