Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
\u00d3scar Melendo,58,0,0,0,1,1,0
Sergi Darder,69,0,0,0,1,0,1
Sergio Garc\u00eda,80,0,1,0,0,0,1
Javi L\u00f3pez,90,1,0,0,0,0,1
Naldo,90,1,0,0,0,0,1
D\u00eddac Vil\u00e1,90,1,0,0,0,1,0
C. S\u00e1nchez,90,0,0,0,1,0,1
David L\u00f3pez,90,1,0,0,0,0,1
L\u00e9o Baptist\u00e3o,90,0,1,0,0,0,1
Diego L\u00f3pez,90,0,0,1,0,0,1
Gerard Moreno,90,0,1,0,0,1,0
P. Piatti,32,0,1,0,0,1,0
Marc Roca,21,0,0,0,1,1,0
Jurado,10,0,0,0,1,0,1
