Source,Target,Weight
C. Bacca,V\u00edctor Ru\u00edz,2
Mario,Samu Castillejo,2
V\u00edctor Ru\u00edz,Jaume Costa,2
Samu Castillejo,Javi Fuego,2
Mario,R. Mart\u00ednez,1
Pablo Fornals,Trigueros,1
R. Mart\u00ednez,V\u00edctor Ru\u00edz,1
Samu Castillejo,Mario,1
Javi Fuego,Samu Castillejo,1
Pablo Fornals,Samu Castillejo,1
\u00c1lvaro Gonz\u00e1lez,V\u00edctor Ru\u00edz,1
R. Mart\u00ednez,Mario,1
Jaume Costa,Trigueros,1
Pablo Fornals,C. Bacca,1
Jaume Costa,Pablo Fornals,1
Samu Castillejo,V\u00edctor Ru\u00edz,1
V\u00edctor Ru\u00edz,Pablo Fornals,1
Javi Fuego,Mario,1
Trigueros,Pablo Fornals,1
V\u00edctor Ru\u00edz,Javi Fuego,1
V\u00edctor Ru\u00edz,R. Mart\u00ednez,1
Trigueros,Samu Castillejo,1
Trigueros,R. Mart\u00ednez,1
V\u00edctor Ru\u00edz,Trigueros,1
R. Mart\u00ednez,Samu Castillejo,1
Javi Fuego,V\u00edctor Ru\u00edz,1
Samu Castillejo,R. Mart\u00ednez,1
Pablo Fornals,V\u00edctor Ru\u00edz,1
V\u00edctor Ru\u00edz,C. Bacca,1
R. Mart\u00ednez,Pablo Fornals,1
