Name,Field Time,Position_DEF,Position_GKP,Position_MID,Foot_left,Foot_right,Position_FWD
P. van Aanholt,11,1,0,0,1,0,0
J. Ward,60,1,0,0,0,1,0
Y. Cabaye,90,0,0,1,0,1,0
L. Milivojevi\u0107,90,0,0,1,0,1,0
J. Schlupp,90,1,0,0,1,0,0
A. Townsend,90,0,0,1,1,0,0
S. Dann,90,1,0,0,0,1,0
J. Speroni,90,0,1,0,0,1,0
R. Loftus-Cheek,90,0,0,1,0,1,0
W. Zaha,90,0,0,1,0,1,0
J. Tomkins,90,1,0,0,0,1,0
T. Fosu-Mensah,79,1,0,0,0,1,0
B. Sako,30,0,0,1,1,0,0
