Source,Target,Weight
Diego Farias,Jo\u00e3o Pedro,4
L. Ceppitelli,F. Romagna,3
Jo\u00e3o Pedro,N. Barella,3
L. Ceppitelli,M. Andreolli,2
M. Andreolli,L. Ceppitelli,2
L. Ceppitelli,S. Padoin,2
F. Romagna,L. Ceppitelli,2
N. Barella,Diego Farias,2
P. Farag\u00f2,N. Barella,2
Diego Farias,L. Cigarini,1
L. Cigarini,Diego Farias,1
N. Barella,L. Ceppitelli,1
Jo\u00e3o Pedro,S. Padoin,1
L. Cigarini,L. Ceppitelli,1
M. Andreolli,Diego Farias,1
Jo\u00e3o Pedro,L. Ceppitelli,1
N. Barella,M. Andreolli,1
L. Ceppitelli,Jo\u00e3o Pedro,1
L. Pavoletti,L. Cigarini,1
S. Padoin,P. Farag\u00f2,1
S. Padoin,Diego Farias,1
S. Padoin,L. Pavoletti,1
N. Barella,Rafael,1
S. Padoin,M. Andreolli,1
Rafael,L. Ceppitelli,1
M. Andreolli,S. Padoin,1
F. Romagna,L. Pavoletti,1
M. Andreolli,P. Farag\u00f2,1
L. Pavoletti,P. Farag\u00f2,1
