Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
Iv\u00e1n Alejo,40,0,0,0,1,0,1
T. Inui,61,0,0,0,1,0,1
Jos\u00e9 \u00c1ngel,79,1,0,0,0,1,0
Ander Capa,90,1,0,0,0,0,1
Paulo Oliveira,90,1,0,0,0,0,1
G. Escalante,90,0,0,0,1,0,1
Sergi Enrich,90,0,1,0,0,0,1
M. Dmitrovi\u0107,90,0,0,1,0,1,0
Dani Garc\u00eda,90,0,0,0,1,0,1
Kike Garc\u00eda,90,0,1,0,0,0,1
Ramis,90,1,0,0,0,0,1
Rub\u00e9n Pe\u00f1a,50,0,0,0,1,0,1
Christian Rivera,29,0,0,0,1,0,1
Beb\u00e9,11,0,0,0,1,0,1
