Source,Target,Weight
J. Vardy,B. Chilwell,2
H. Maguire,H. Choudhury,2
Adrien Silva,B. Chilwell,2
B. Chilwell,Adrien Silva,2
D. Simpson,K. Schmeichel,2
J. Vardy,Adrien Silva,1
H. Choudhury,F. Diabat\u00e9,1
H. Choudhury,K. Schmeichel,1
R. Mahrez,K. Schmeichel,1
B. Chilwell,R. Mahrez,1
R. Mahrez,K. Iheanacho,1
F. Diabat\u00e9,W. Morgan,1
B. Chilwell,J. Vardy,1
K. Schmeichel,J. Vardy,1
K. Schmeichel,H. Choudhury,1
R. Mahrez,H. Maguire,1
Adrien Silva,R. Mahrez,1
Adrien Silva,J. Vardy,1
H. Maguire,Adrien Silva,1
W. Morgan,D. Simpson,1
K. Iheanacho,D. Simpson,1
F. Diabat\u00e9,Adrien Silva,1
B. Chilwell,H. Maguire,1
K. Schmeichel,H. Maguire,1
H. Choudhury,K. Iheanacho,1
H. Maguire,W. Morgan,1
Adrien Silva,F. Diabat\u00e9,1
W. Morgan,H. Maguire,1
K. Schmeichel,B. Chilwell,1
H. Maguire,R. Mahrez,1
