Source,Target,Weight
D. Astori,C. Biraghi,8
C. Biraghi,D. Astori,5
M. Badelj,C. Biraghi,5
G. Pezzella,D. Astori,4
J. Veretout,M. Badelj,4
C. Biraghi,J. Veretout,4
M. Badelj,D. Astori,4
D. Astori,M. Badelj,4
D. Astori,J. Veretout,4
J. Veretout,M. Benassi,3
N. Milenkovi\u0107,M. Benassi,3
C. Biraghi,F. Chiesa,3
M. Badelj,Gil Dias,3
J. Veretout,D. Astori,3
M. Benassi,M. Badelj,3
Gil Dias,M. Badelj,3
C. Biraghi,M. Badelj,3
N. Milenkovi\u0107,G. Pezzella,3
M. Badelj,J. Veretout,3
M. Benassi,Gil Dias,2
Gil Dias,F. Chiesa,2
G. Pezzella,J. Veretout,2
J. Veretout,C. Biraghi,2
J. Veretout,G. Simeone,2
F. Chiesa,D. Astori,2
C. Biraghi,G. Simeone,2
J. Veretout,N. Milenkovi\u0107,2
F. Chiesa,M. Badelj,2
J. Veretout,Gil Dias,2
Gil Dias,M. Benassi,2
G. Pezzella,N. Milenkovi\u0107,2
D. Astori,M. Sportiello,2
G. Pezzella,M. Benassi,2
M. Badelj,F. Chiesa,2
C. Biraghi,N. Milenkovi\u0107,2
N. Milenkovi\u0107,M. Badelj,2
M. Benassi,J. Veretout,2
M. Sportiello,D. Astori,2
Gil Dias,J. Veretout,2
D. Astori,M. Benassi,2
G. Simeone,G. Pezzella,2
G. Simeone,C. Biraghi,2
M. Badelj,G. Pezzella,2
G. Pezzella,Gil Dias,1
M. Benassi,G. Pezzella,1
G. Simeone,M. Benassi,1
N. Milenkovi\u0107,M. Sportiello,1
F. Chiesa,N. Milenkovi\u0107,1
G. Simeone,D. Astori,1
Gil Dias,G. Pezzella,1
M. Benassi,C. Biraghi,1
M. Benassi,D. Astori,1
M. Sportiello,Gil Dias,1
M. Benassi,G. Simeone,1
N. Milenkovi\u0107,J. Veretout,1
D. Astori,N. Milenkovi\u0107,1
Gil Dias,D. Astori,1
F. Chiesa,Gil Dias,1
M. Sportiello,M. Badelj,1
M. Badelj,M. Benassi,1
Gil Dias,C. Biraghi,1
M. Benassi,M. Sportiello,1
M. Badelj,M. Sportiello,1
D. Astori,Gil Dias,1
M. Benassi,N. Milenkovi\u0107,1
F. Chiesa,G. Pezzella,1
M. Sportiello,N. Milenkovi\u0107,1
M. Badelj,G. Simeone,1
D. Astori,G. Pezzella,1
