Source,Target,Weight
M. Albrighton,D. Gray,3
D. Simpson,W. Morgan,3
D. Simpson,R. Mahrez,3
R. Mahrez,M. Albrighton,3
M. Albrighton,B. Chilwell,3
R. Mahrez,D. Simpson,2
K. Schmeichel,H. Maguire,2
B. Chilwell,M. Albrighton,2
H. Maguire,R. Mahrez,2
H. Maguire,D. Simpson,2
W. Ndidi,H. Maguire,2
K. Schmeichel,R. Mahrez,2
W. Ndidi,M. James,2
R. Mahrez,W. Ndidi,2
W. Morgan,W. Ndidi,2
M. James,B. Chilwell,1
D. Gray,B. Chilwell,1
H. Maguire,W. Morgan,1
M. Albrighton,R. Mahrez,1
M. James,R. Mahrez,1
D. Gray,H. Maguire,1
D. Gray,K. Schmeichel,1
H. Maguire,M. Albrighton,1
M. James,H. Maguire,1
M. Albrighton,M. James,1
W. Morgan,D. Simpson,1
M. James,W. Ndidi,1
B. Chilwell,F. Diabat\u00e9,1
H. Maguire,B. Chilwell,1
B. Chilwell,K. Schmeichel,1
K. Schmeichel,M. Albrighton,1
B. Chilwell,M. James,1
R. Mahrez,K. Schmeichel,1
W. Ndidi,K. Schmeichel,1
D. Gray,W. Ndidi,1
H. Maguire,W. Ndidi,1
W. Ndidi,W. Morgan,1
D. Simpson,H. Maguire,1
W. Ndidi,B. Chilwell,1
W. Morgan,M. Albrighton,1
H. Maguire,K. Schmeichel,1
F. Diabat\u00e9,W. Ndidi,1
W. Morgan,M. James,1
W. Ndidi,D. Simpson,1
K. Schmeichel,M. James,1
B. Chilwell,W. Ndidi,1
B. Chilwell,H. Maguire,1
M. James,D. Gray,1
M. James,K. Schmeichel,1
R. Mahrez,H. Maguire,1
