Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
Adri\u00e1n Di\u00e9guez,46,1,0,0,0,1,0
V\u00edctor L\u00f3pez,61,1,0,0,0,0,1
J. Guidetti,75,0,1,0,0,0,1
Manu Garc\u00eda,90,0,0,0,1,1,0
Rodrigo Ely,90,1,0,0,0,0,1
E. Demirovi\u0107,90,0,1,0,0,0,1
G. Marip\u00e1n,90,1,0,0,0,0,1
Fernando Pacheco,90,0,0,1,0,1,0
Ibai G\u00f3mez,90,0,0,0,1,0,1
Alexis,90,1,0,0,0,0,1
D. Torres,90,0,0,0,1,0,1
Mart\u00edn,44,1,0,0,0,0,1
Burgui,29,0,0,0,1,0,1
M. Wakaso,15,0,0,0,1,1,0
