Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
\u00d3scar Melendo,46,0,0,0,1,1,0
Javi Fuego,46,0,0,0,1,0,1
Javi L\u00f3pez,63,1,0,0,0,0,1
Mario Hermoso,90,1,0,0,0,1,0
D\u00eddac Vil\u00e1,90,1,0,0,0,1,0
David L\u00f3pez,90,1,0,0,0,0,1
\u00d3. Duarte,90,1,0,0,0,0,1
L\u00e9o Baptist\u00e3o,90,0,1,0,0,0,1
Diego L\u00f3pez,90,0,0,1,0,0,1
Sergi Darder,90,0,0,0,1,0,1
Gerard Moreno,90,0,1,0,0,1,0
V\u00edctor S\u00e1nchez,44,0,0,0,1,0,1
Sergio Garc\u00eda,44,0,1,0,0,0,1
Marc Navarro,27,1,0,0,0,0,1
