Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
Jurado,61,0,0,0,1,0,1
C. S\u00e1nchez,64,0,0,0,1,0,1
\u00d3scar Melendo,83,0,0,0,1,1,0
Mario Hermoso,90,1,0,0,0,1,0
Pau L\u00f3pez,90,0,0,1,0,1,0
P. Piatti,90,0,1,0,0,1,0
D\u00eddac Vil\u00e1,90,1,0,0,0,1,0
Marc Navarro,90,1,0,0,0,0,1
David L\u00f3pez,90,1,0,0,0,0,1
Sergi Darder,90,0,0,0,1,0,1
Gerard Moreno,90,0,1,0,0,1,0
L\u00e9o Baptist\u00e3o,29,0,1,0,0,0,1
Granero,26,0,0,0,1,0,1
Sergio Garc\u00eda,7,0,1,0,0,0,1
