Source,Target,Weight
E. Garay,Nacho Vidal,4
J. Murillo,Jaume,2
Nacho Vidal,E. Garay,2
Jaume,E. Garay,2
G. Kondogbia,Jos\u00e9 Gay\u00e1,2
J. Murillo,G. Kondogbia,2
N. Maksimovi\u0107,Nacho Vidal,2
Nacho Vidal,N. Maksimovi\u0107,2
Nacho Vidal,G. Kondogbia,2
Jos\u00e9 Gay\u00e1,N. Maksimovi\u0107,1
Jos\u00e9 Gay\u00e1,G. Kondogbia,1
G. Kondogbia,J. Murillo,1
Gon\u00e7alo Guedes,N. Maksimovi\u0107,1
Santi Mina,E. Garay,1
G. Kondogbia,E. Garay,1
Jaume,Nacho Vidal,1
G. Kondogbia,Santi Mina,1
Rodrigo,E. Garay,1
E. Garay,Carlos Soler,1
N. Maksimovi\u0107,Jos\u00e9 Gay\u00e1,1
Jos\u00e9 Gay\u00e1,J. Murillo,1
Carlos Soler,Santi Mina,1
N. Maksimovi\u0107,J. Murillo,1
G. Kondogbia,Rodrigo,1
E. Garay,Santi Mina,1
Nacho Vidal,Jaume,1
Santi Mina,Gon\u00e7alo Guedes,1
Gon\u00e7alo Guedes,Carlos Soler,1
E. Garay,J. Murillo,1
Carlos Soler,G. Kondogbia,1
