Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
P. Piatti,57,0,1,0,0,1,0
V\u00edctor S\u00e1nchez,68,0,0,0,1,0,1
Sergi Darder,75,0,0,0,1,0,1
Mario Hermoso,90,1,0,0,0,1,0
Aar\u00f3n,90,1,0,0,0,1,0
Pau L\u00f3pez,90,0,0,1,0,1,0
David L\u00f3pez,90,1,0,0,0,0,1
L\u00e9o Baptist\u00e3o,90,0,1,0,0,0,1
P. Diop,90,0,0,0,1,0,1
Javi Fuego,90,0,0,0,1,0,1
Gerard Moreno,90,0,1,0,0,1,0
Sergio Garc\u00eda,33,0,1,0,0,0,1
Marc Navarro,22,1,0,0,0,0,1
D\u00eddac Vil\u00e1,15,1,0,0,0,1,0
