Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
X. Shaqiri,25,0,0,0,1,0,1,0
Jes\u00e9 Rodr\u00edguez,71,0,1,0,0,0,0,1
E. Pieters,89,1,0,0,0,0,1,0
M. Diouf,90,0,1,0,0,0,0,1
G. Cameron,90,1,0,0,0,0,0,1
D. Fletcher,90,0,0,0,1,0,0,1
E. Choupo-Moting,90,0,1,0,0,1,0,0
R. Shawcross,90,1,0,0,0,0,0,1
J. Butland,90,0,0,1,0,0,0,1
K. Zouma,90,1,0,0,0,0,0,1
J. Allen,90,0,0,0,1,0,0,1
S. Berahino,65,0,1,0,0,0,0,1
Ramadan Sobhi,19,0,0,0,1,0,0,1
B. Martins Indi,1,1,0,0,0,0,1,0
