Source,Target,Weight
V\u00edctor S\u00e1nchez,Jurado,4
L\u00e9o Baptist\u00e3o,P. Diop,3
Jurado,V\u00edctor S\u00e1nchez,3
P. Piatti,Aar\u00f3n,3
P. Diop,Gerard Moreno,3
P. Diop,Mario Hermoso,2
Gerard Moreno,David L\u00f3pez,2
Aar\u00f3n,Gerard Moreno,2
David L\u00f3pez,Mario Hermoso,2
Mario Hermoso,P. Piatti,2
Jurado,P. Diop,2
L\u00e9o Baptist\u00e3o,V\u00edctor S\u00e1nchez,2
Mario Hermoso,P. Diop,2
Gerard Moreno,V\u00edctor S\u00e1nchez,2
Jurado,Mario Hermoso,1
Mario Hermoso,Pau L\u00f3pez,1
Pau L\u00f3pez,L\u00e9o Baptist\u00e3o,1
P. Diop,David L\u00f3pez,1
Mario Hermoso,David L\u00f3pez,1
V\u00edctor S\u00e1nchez,Pau L\u00f3pez,1
Sergi Darder,Mario Hermoso,1
Jurado,Sergi Darder,1
Sergi Darder,L\u00e9o Baptist\u00e3o,1
Pau L\u00f3pez,V\u00edctor S\u00e1nchez,1
P. Diop,Jurado,1
V\u00edctor S\u00e1nchez,Gerard Moreno,1
P. Piatti,P. Diop,1
David L\u00f3pez,V\u00edctor S\u00e1nchez,1
V\u00edctor S\u00e1nchez,Sergi Darder,1
Gerard Moreno,L\u00e9o Baptist\u00e3o,1
Aar\u00f3n,Mario Hermoso,1
David L\u00f3pez,L\u00e9o Baptist\u00e3o,1
Mario Hermoso,Gerard Moreno,1
Aar\u00f3n,Jurado,1
V\u00edctor S\u00e1nchez,David L\u00f3pez,1
P. Piatti,Mario Hermoso,1
Gerard Moreno,Jurado,1
David L\u00f3pez,P. Diop,1
P. Diop,P. Piatti,1
P. Diop,Aar\u00f3n,1
V\u00edctor S\u00e1nchez,L\u00e9o Baptist\u00e3o,1
Gerard Moreno,P. Piatti,1
P. Diop,L\u00e9o Baptist\u00e3o,1
Sergi Darder,P. Diop,1
Mario Hermoso,Sergi Darder,1
