Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
G. Cameron,46,1,0,0,0,0,0,1
Jes\u00e9 Rodr\u00edguez,75,0,1,0,0,0,0,1
M. Diouf,90,0,1,0,0,0,0,1
X. Shaqiri,90,0,0,0,1,0,1,0
D. Fletcher,90,0,0,0,1,0,0,1
E. Choupo-Moting,90,0,1,0,0,1,0,0
J. Butland,90,0,0,1,0,0,0,1
E. Pieters,90,1,0,0,0,0,1,0
K. Zouma,90,1,0,0,0,0,0,1
J. Allen,90,0,0,0,1,0,0,1
K. Wimmer,90,1,0,0,0,0,1,0
B. Martins Indi,44,1,0,0,0,0,1,0
S. Berahino,15,0,1,0,0,0,0,1
