Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
A. Candreva,72,0,0,0,1,0,1
Jo\u00e3o Cancelo,82,1,0,0,0,0,1
Borja Valero,84,0,0,0,1,0,1
S. Handanovi\u010d,90,0,0,1,0,0,1
M. \u0160kriniar,90,1,0,0,0,0,1
M. Icardi,90,0,1,0,0,0,1
I. Peri\u0161i\u0107,90,0,0,0,1,0,1
M. Vecino,90,0,0,0,1,0,1
D. Santon,90,1,0,0,0,0,1
A. Ranocchia,90,1,0,0,0,0,1
R. Gagliardini,90,0,0,0,1,0,1
Jo\u00e3o M\u00e1rio,18,0,0,0,1,0,1
Dalbert,8,1,0,0,0,1,0
M. Brozovi\u0107,6,0,0,0,1,0,1
