Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_right,Foot_left
I. Sacko,41,0,1,0,0,1,0
E. Seka,64,1,0,0,0,1,0
S. Bahoken,77,0,1,0,0,1,0
K. Lala,90,1,0,0,0,1,0
Nuno Da Costa,90,0,1,0,0,1,0
J. Martin,90,0,0,0,1,1,0
K. Mangane,90,1,0,0,0,1,0
B. Kon\u00e9,90,1,0,0,0,1,0
A. Oukidja,90,0,0,1,0,1,0
A. Gon\u00e7alves,90,0,0,0,1,1,0
J. Grimm,90,0,0,0,1,1,0
J. Blayac,49,0,1,0,0,1,0
D. Foulquier,26,1,0,0,0,1,0
I. Saadi,13,0,1,0,0,1,0
