Source,Target,Weight
S. Padoin,M. Andreolli,3
A. Cragno,Jo\u00e3o Pedro,3
M. Andreolli,S. Padoin,3
Leandro Cast\u00e1n,A. Cragno,3
C. Lykogiannis,Leandro Cast\u00e1n,3
A. Ioni\u0163\u0103,Diego Farias,2
Jo\u00e3o Pedro,Leandro Cast\u00e1n,2
M. Andreolli,Leandro Cast\u00e1n,2
Jo\u00e3o Pedro,A. Ioni\u0163\u0103,2
L. Ceppitelli,L. Cigarini,2
Diego Farias,Jo\u00e3o Pedro,2
L. Cigarini,Jo\u00e3o Pedro,2
Diego Farias,N. Barella,2
Jo\u00e3o Pedro,Diego Farias,2
S. Padoin,Diego Farias,2
Leandro Cast\u00e1n,C. Lykogiannis,1
Jo\u00e3o Pedro,M. Andreolli,1
M. Andreolli,A. Cragno,1
Diego Farias,M. Sau,1
M. Andreolli,Jo\u00e3o Pedro,1
L. Ceppitelli,N. Barella,1
L. Ceppitelli,M. Andreolli,1
M. Andreolli,A. Ioni\u0163\u0103,1
M. Andreolli,L. Ceppitelli,1
L. Cigarini,M. Andreolli,1
N. Barella,A. Ioni\u0163\u0103,1
L. Ceppitelli,S. Padoin,1
Leandro Cast\u00e1n,Diego Farias,1
A. Ioni\u0163\u0103,Jo\u00e3o Pedro,1
C. Lykogiannis,L. Ceppitelli,1
N. Barella,L. Ceppitelli,1
A. Ioni\u0163\u0103,L. Cigarini,1
Leandro Cast\u00e1n,L. Ceppitelli,1
S. Padoin,A. Cragno,1
Diego Farias,M. Andreolli,1
A. Ioni\u0163\u0103,S. Padoin,1
A. Cragno,M. Andreolli,1
C. Lykogiannis,N. Barella,1
N. Barella,Diego Farias,1
L. Cigarini,S. Padoin,1
L. Cigarini,C. Lykogiannis,1
Jo\u00e3o Pedro,N. Barella,1
A. Cragno,L. Ceppitelli,1
A. Ioni\u0163\u0103,Leandro Cast\u00e1n,1
N. Barella,Leandro Cast\u00e1n,1
L. Ceppitelli,Leandro Cast\u00e1n,1
A. Ioni\u0163\u0103,C. Lykogiannis,1
A. Cragno,A. Ioni\u0163\u0103,1
Leandro Cast\u00e1n,L. Cigarini,1
M. Andreolli,L. Cigarini,1
Jo\u00e3o Pedro,L. Cigarini,1
Leandro Cast\u00e1n,M. Andreolli,1
Leandro Cast\u00e1n,A. Ioni\u0163\u0103,1
Diego Farias,A. Ioni\u0163\u0103,1
N. Barella,A. Cragno,1
Jo\u00e3o Pedro,L. Ceppitelli,1
L. Ceppitelli,C. Lykogiannis,1
L. Cigarini,L. Ceppitelli,1
Leandro Cast\u00e1n,Jo\u00e3o Pedro,1
Diego Farias,C. Lykogiannis,1
