Source,Target,Weight
V. Lazaro,M. Weiser,4
N. Stark,T. Kraft,4
M. Weiser,N. Stark,3
M. Weiser,V. Lazaro,3
D. Selke,V. Lazaro,3
M. Plattenhardt,F. Lustenberger,3
F. Lustenberger,M. Plattenhardt,3
D. Selke,P. Skjelbred,3
P. Skjelbred,N. Stark,3
P. Skjelbred,M. Weiser,2
T. Kraft,N. Stark,2
S. Kalou,M. Plattenhardt,2
T. Kraft,M. Weiser,2
N. Stark,P. Skjelbred,2
F. Lustenberger,D. Selke,2
M. Weiser,O. Duda,2
V. Lazaro,A. Maier,2
M. Plattenhardt,P. Skjelbred,2
O. Duda,V. Lazaro,2
A. Maier,M. Weiser,2
M. Plattenhardt,D. Selke,2
T. Kraft,F. Lustenberger,2
O. Duda,D. Selke,2
O. Duda,S. Kalou,2
F. Lustenberger,P. Skjelbred,2
P. Skjelbred,M. Plattenhardt,2
S. Kalou,P. Skjelbred,1
P. Skjelbred,O. Duda,1
M. Weiser,F. Lustenberger,1
M. Weiser,D. Selke,1
D. Selke,O. Duda,1
A. Maier,O. Duda,1
T. Kraft,V. Lazaro,1
A. Maier,M. Plattenhardt,1
F. Lustenberger,O. Duda,1
M. Plattenhardt,S. Kalou,1
N. Stark,M. Weiser,1
A. Maier,D. Selke,1
D. Selke,A. Maier,1
O. Duda,M. Weiser,1
V. Lazaro,O. Duda,1
M. Weiser,A. Maier,1
M. Plattenhardt,T. Kraft,1
M. Weiser,T. Kraft,1
M. Weiser,P. Skjelbred,1
A. Maier,F. Lustenberger,1
F. Lustenberger,T. Kraft,1
D. Selke,M. Weiser,1
S. Kalou,M. Weiser,1
P. Skjelbred,S. Kalou,1
A. Maier,N. Stark,1
O. Duda,A. Maier,1
N. Stark,F. Lustenberger,1
V. Lazaro,F. Lustenberger,1
P. Skjelbred,A. Maier,1
D. Selke,M. Plattenhardt,1
V. Lazaro,D. Selke,1
T. Kraft,O. Duda,1
M. Plattenhardt,A. Maier,1
P. Skjelbred,T. Kraft,1
N. Stark,D. Selke,1
