Source,Target,Weight
S. March,G. Murray,2
D. Stephens,S. Duffy,2
G. Bong,S. March,2
S. Duffy,Bruno Saltor,2
A. Knockaert,L. Dunk,2
L. Dunk,M. Ryan,1
G. Murray,D. Stephens,1
S. Duffy,L. Dunk,1
Bruno Saltor,A. Knockaert,1
M. Ryan,D. Stephens,1
L. Dunk,S. March,1
D. Stephens,A. Knockaert,1
Bruno Saltor,M. Ryan,1
L. Dunk,D. Stephens,1
S. March,G. Bong,1
D. Stephens,L. Dunk,1
G. Murray,G. Bong,1
M. Ryan,Bruno Saltor,1
G. Bong,G. Murray,1
L. Dunk,G. Bong,1
Bruno Saltor,D. Stephens,1
G. Bong,S. Duffy,1
