Source,Target,Weight
M. Ginter,J. Vestergaard,14
J. Vestergaard,M. Ginter,10
R. Oxford,M. Ginter,8
M. Ginter,C. Kramer,6
Y. Sommer,M. Ginter,6
M. Ginter,Y. Sommer,6
C. Kramer,J. Vestergaard,5
M. Ginter,L. Stindl,4
D. Zakaria,M. Ginter,4
V. Grifo,O. Wendt,4
Y. Sommer,J. Drmic,4
J. Vestergaard,O. Wendt,4
C. Kramer,R. Oxford,4
R. Oxford,T. Hazard,4
C. Kramer,M. Ginter,3
T. Hazard,J. Drmic,3
J. Vestergaard,L. Stindl,3
O. Wendt,Y. Sommer,3
M. Ginter,R. Oxford,3
J. Drmic,T. Hazard,3
J. Vestergaard,C. Kramer,3
J. Vestergaard,Y. Sommer,3
T. Hazard,R. Oxford,3
L. Stindl,J. Drmic,3
M. Ginter,T. Hazard,3
Y. Sommer,J. Vestergaard,3
L. Stindl,R. Oxford,3
L. Stindl,M. Ginter,3
J. Vestergaard,V. Grifo,3
D. Zakaria,L. Stindl,3
J. Drmic,D. Zakaria,3
L. Stindl,J. Vestergaard,3
J. Drmic,R. Oxford,2
T. Hazard,Y. Sommer,2
C. Kramer,L. Stindl,2
O. Wendt,J. Vestergaard,2
L. Stindl,C. Kramer,2
L. Stindl,D. Zakaria,2
O. Wendt,V. Grifo,2
C. Kramer,V. Grifo,2
V. Grifo,D. Zakaria,2
V. Grifo,J. Vestergaard,2
R. Oxford,O. Wendt,2
M. Ginter,J. Drmic,2
J. Vestergaard,R. Oxford,2
T. Hazard,L. Stindl,2
T. Hazard,M. Ginter,2
O. Wendt,C. Kramer,2
J. Drmic,L. Stindl,2
O. Wendt,T. Hazard,1
J. Drmic,C. Kramer,1
C. Kramer,Y. Sommer,1
Y. Sommer,T. Hazard,1
R. Oxford,D. Zakaria,1
R. Oxford,L. Stindl,1
T. Hazard,D. Zakaria,1
J. Drmic,V. Grifo,1
O. Wendt,L. Stindl,1
V. Grifo,Y. Sommer,1
C. Kramer,T. Hazard,1
J. Vestergaard,T. Hazard,1
D. Zakaria,J. Drmic,1
R. Oxford,C. Kramer,1
T. Hazard,C. Kramer,1
R. Oxford,V. Grifo,1
T. Hazard,J. Vestergaard,1
D. Zakaria,R. Oxford,1
R. Oxford,Y. Sommer,1
D. Zakaria,T. Hazard,1
D. Zakaria,O. Wendt,1
Y. Sommer,V. Grifo,1
J. Drmic,M. Ginter,1
Y. Sommer,R. Oxford,1
J. Vestergaard,D. Zakaria,1
Y. Sommer,C. Kramer,1
L. Stindl,O. Wendt,1
L. Stindl,T. Hazard,1
C. Kramer,D. Zakaria,1
O. Wendt,M. Ginter,1
V. Grifo,C. Kramer,1
R. Oxford,J. Drmic,1
T. Hazard,V. Grifo,1
V. Grifo,R. Oxford,1
