Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
Jurado,61,0,0,0,1,0,1
Marc Navarro,76,1,0,0,0,0,1
L\u00e9o Baptist\u00e3o,86,0,1,0,0,0,1
Aar\u00f3n,90,1,0,0,0,1,0
Naldo,90,1,0,0,0,0,1
Granero,90,0,0,0,1,0,1
V\u00edctor S\u00e1nchez,90,0,0,0,1,0,1
David L\u00f3pez,90,1,0,0,0,0,1
Diego L\u00f3pez,90,0,0,1,0,0,1
Sergi Darder,90,0,0,0,1,0,1
Gerard Moreno,90,0,1,0,0,1,0
Sergio Garc\u00eda,29,0,1,0,0,0,1
Javi L\u00f3pez,14,1,0,0,0,0,1
C. S\u00e1nchez,4,0,0,0,1,0,1
