Source,Target,Weight
K. Asamoah,G. Chiellini,4
G. Chiellini,M. Pjani\u0107,2
S. Lichtsteiner,F. Bernardeschi,2
G. Chiellini,D. Rugani,2
M. Pjani\u0107,J. Cuadrado,1
G. Chiellini,M. Mand\u017euki\u0107,1
G. Higua\u00edn,S. Lichtsteiner,1
M. Pjani\u0107,G. Higua\u00edn,1
G. Higua\u00edn,M. Pjani\u0107,1
D. Rugani,S. Lichtsteiner,1
J. Cuadrado,M. Mand\u017euki\u0107,1
M. Pjani\u0107,S. Lichtsteiner,1
G. Chiellini,K. Asamoah,1
S. Khedira,G. Chiellini,1
M. Mand\u017euki\u0107,K. Asamoah,1
M. Mand\u017euki\u0107,G. Chiellini,1
F. Bernardeschi,S. Lichtsteiner,1
K. Asamoah,M. Mand\u017euki\u0107,1
S. Lichtsteiner,J. Cuadrado,1
M. Mand\u017euki\u0107,S. Khedira,1
J. Cuadrado,D. Rugani,1
F. Bernardeschi,K. Asamoah,1
J. Cuadrado,M. Pjani\u0107,1
S. Lichtsteiner,K. Asamoah,1
D. Rugani,J. Cuadrado,1
M. Pjani\u0107,S. Khedira,1
S. Khedira,G. Higua\u00edn,1
D. Rugani,K. Asamoah,1
G. Higua\u00edn,J. Cuadrado,1
