Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
S. Berahino,70,0,1,0,0,0,0,1
X. Shaqiri,87,0,0,0,1,0,1,0
M. Diouf,90,0,1,0,0,0,0,1
G. Cameron,90,1,0,0,0,0,0,1
D. Fletcher,90,0,0,0,1,0,0,1
E. Choupo-Moting,90,0,1,0,0,1,0,0
J. Butland,90,0,0,1,0,0,0,1
E. Pieters,90,1,0,0,0,0,1,0
K. Zouma,90,1,0,0,0,0,0,1
J. Allen,90,0,0,0,1,0,0,1
K. Wimmer,90,1,0,0,0,0,1,0
P. Crouch,20,0,1,0,0,0,0,1
I. Afellay,3,0,0,0,1,0,0,1
G. Johnson,1,1,0,0,0,0,0,1
