Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
Momo,46,0,0,0,1,1,0
Dani Castellano,67,1,0,0,0,1,0
M. Aguirregaray,75,1,0,0,0,0,1
O. Etebo,90,0,1,0,0,0,1
A. Halilovi\u0107,90,0,0,0,1,1,0
Javi Castellano,90,0,0,0,1,0,1
David Garc\u00eda,90,1,0,0,0,0,1
Erik Exp\u00f3sito,90,0,1,0,0,1,0
G\u00e1lvez,90,1,0,0,0,0,1
I. Ezekiel,90,0,1,0,0,0,1
L. Chichizola,90,0,0,1,0,0,1
J. Calleri,44,0,1,0,0,0,1
David Sim\u00f3n,23,1,0,0,0,0,1
Benito Ram\u00edrez,15,0,0,0,1,1,0
