Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
K. Zouma,66,1,0,0,0,0,0,1
X. Shaqiri,84,0,0,0,1,0,1,0
M. Diouf,90,0,1,0,0,0,0,1
G. Cameron,90,1,0,0,0,0,0,1
D. Fletcher,90,0,0,0,1,0,0,1
R. Shawcross,90,1,0,0,0,0,0,1
J. Butland,90,0,0,1,0,0,0,1
E. Pieters,90,1,0,0,0,0,1,0
P. Crouch,90,0,1,0,0,0,0,1
J. Allen,90,0,0,0,1,0,0,1
Ramadan Sobhi,90,0,0,0,1,0,0,1
K. Wimmer,24,1,0,0,0,0,1,0
E. Choupo-Moting,6,0,1,0,0,1,0,0
