Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
Sergio Garc\u00eda,6,0,1,0,0,0,1
Javi Fuego,55,0,0,0,1,0,1
Jurado,62,0,0,0,1,0,1
Mario Hermoso,90,1,0,0,0,1,0
Aar\u00f3n,90,1,0,0,0,1,0
Pau L\u00f3pez,90,0,0,1,0,1,0
P. Piatti,90,0,1,0,0,1,0
V\u00edctor S\u00e1nchez,90,0,0,0,1,0,1
David L\u00f3pez,90,1,0,0,0,0,1
Sergi Darder,90,0,0,0,1,0,1
Gerard Moreno,90,0,1,0,0,1,0
L\u00e9o Baptist\u00e3o,84,0,1,0,0,0,1
Granero,35,0,0,0,1,0,1
\u00d3scar Melendo,28,0,0,0,1,1,0
