Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_right,Foot_left
D. Zakaria,80,0,0,0,1,1,0
T. Hazard,84,0,1,0,0,1,0
R. Oxford,90,1,0,0,0,1,0
J. Hofmann,90,0,0,0,1,1,0
R. Bobadilla,90,0,1,0,0,1,0
M. Ginter,90,1,0,0,0,1,0
L. Stindl,90,0,1,0,0,1,0
Y. Sommer,90,0,0,1,0,1,0
J. Vestergaard,90,1,0,0,0,1,0
C. Kramer,90,0,0,0,1,1,0
N. Elvedi,90,1,0,0,0,1,0
M. Egbo,10,1,0,0,0,1,0
P. Herrmann,6,0,0,0,1,1,0
V. Grifo,1,0,0,0,1,1,0
