Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
Jurado,51,0,0,0,1,0,1
Javi L\u00f3pez,61,1,0,0,0,0,1
L\u00e9o Baptist\u00e3o,86,0,1,0,0,0,1
Mario Hermoso,90,1,0,0,0,1,0
Aar\u00f3n,90,1,0,0,0,1,0
Pau L\u00f3pez,90,0,0,1,0,1,0
Granero,90,0,0,0,1,0,1
V\u00edctor S\u00e1nchez,90,0,0,0,1,0,1
\u00d3. Duarte,90,1,0,0,0,0,1
Sergi Darder,90,0,0,0,1,0,1
Gerard Moreno,90,0,1,0,0,1,0
D\u00eddac Vil\u00e1,39,1,0,0,0,1,0
Marc Navarro,29,1,0,0,0,0,1
\u00d3scar Melendo,4,0,0,0,1,1,0
