Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
Charles,66,0,1,0,0,0,1
Rub\u00e9n Pe\u00f1a,77,0,0,0,1,0,1
Kike Garc\u00eda,86,0,1,0,0,0,1
Ander Capa,90,1,0,0,0,0,1
T. Inui,90,0,0,0,1,0,1
Paulo Oliveira,90,1,0,0,0,0,1
Jos\u00e9 \u00c1ngel,90,1,0,0,0,1,0
Joan Jord\u00e1n,90,0,0,0,1,0,1
M. Dmitrovi\u0107,90,0,0,1,0,1,0
Dani Garc\u00eda,90,0,0,0,1,0,1
Ramis,90,1,0,0,0,0,1
Iv\u00e1n Alejo,24,0,0,0,1,0,1
Sergi Enrich,13,0,1,0,0,0,1
Christian Rivera,4,0,0,0,1,0,1
