Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
Lomb\u00e1n,66,1,0,0,0,0,1
Iv\u00e1n Alejo,78,0,0,0,1,0,1
Rub\u00e9n Pe\u00f1a,90,0,0,0,1,0,1
Paulo Oliveira,90,1,0,0,0,0,1
Jos\u00e9 \u00c1ngel,90,1,0,0,0,1,0
G. Escalante,90,0,0,0,1,0,1
Joan Jord\u00e1n,90,0,0,0,1,0,1
M. Dmitrovi\u0107,90,0,0,1,0,1,0
Dani Garc\u00eda,90,0,0,0,1,0,1
F. Orellana,90,0,0,0,1,0,1
Kike Garc\u00eda,90,0,1,0,0,0,1
Arbilla,24,1,0,0,0,0,1
Charles,12,0,1,0,0,0,1
Xesc Regis,1,0,1,0,0,0,1
