Source,Target,Weight
S. Mustafi,A. Maitland-Niles,3
R. Holding,S. Mustafi,3
S. Kola\u0161inac,R. Holding,3
G. Xhaka,S. Kola\u0161inac,3
Mohamed Elneny,S. Kola\u0161inac,2
Mohamed Elneny,G. Xhaka,2
A. Iwobi,G. Xhaka,2
M. \u00d6zil,A. Iwobi,2
P. Aubameyang,R. Holding,2
H. Mkhitaryan,G. Xhaka,2
G. Xhaka,R. Holding,2
A. Maitland-Niles,Mohamed Elneny,2
G. Xhaka,Mohamed Elneny,2
P. \u010cech,Mohamed Elneny,2
S. Kola\u0161inac,P. \u010cech,1
P. \u010cech,S. Mustafi,1
S. Kola\u0161inac,P. Aubameyang,1
A. Maitland-Niles,M. \u00d6zil,1
S. Kola\u0161inac,G. Xhaka,1
R. Holding,M. \u00d6zil,1
R. Holding,A. Maitland-Niles,1
P. Aubameyang,H. Mkhitaryan,1
G. Xhaka,M. \u00d6zil,1
A. Iwobi,R. Holding,1
H. Mkhitaryan,P. Aubameyang,1
S. Mustafi,P. Aubameyang,1
A. Maitland-Niles,H. Mkhitaryan,1
S. Kola\u0161inac,A. Iwobi,1
R. Holding,G. Xhaka,1
P. \u010cech,A. Maitland-Niles,1
S. Mustafi,G. Xhaka,1
R. Holding,P. \u010cech,1
M. \u00d6zil,P. \u010cech,1
Mohamed Elneny,H. Mkhitaryan,1
Mohamed Elneny,S. Mustafi,1
R. Holding,S. Kola\u0161inac,1
A. Maitland-Niles,P. \u010cech,1
G. Xhaka,A. Iwobi,1
A. Maitland-Niles,P. Aubameyang,1
A. Iwobi,S. Kola\u0161inac,1
