Source,Target,Weight
H. Traor\u00e9,B. Andr\u00e9,6
J. Lea Siliki,R. Bensebaini,5
R. Bensebaini,J. Lea Siliki,4
J. Gnagnon,J. Gelin,4
B. Bourigeaud,H. Traor\u00e9,3
J. Gnagnon,B. Andr\u00e9,3
J. Gelin,H. Traor\u00e9,3
J. Lea Siliki,J. Gnagnon,3
B. Andr\u00e9,H. Traor\u00e9,3
H. Traor\u00e9,B. Bourigeaud,3
W. Khazri,H. Traor\u00e9,3
R. Bensebaini,J. Gelin,2
J. Gelin,J. Gnagnon,2
J. Gnagnon,J. Lea Siliki,2
B. Bourigeaud,J. Lea Siliki,2
J. Lea Siliki,I. Sarr,2
R. Bensebaini,I. Sarr,2
J. Lea Siliki,T. Koubek,2
J. Gelin,B. Andr\u00e9,2
B. Andr\u00e9,D. Sakho,2
D. Sakho,J. Gelin,2
J. Gelin,J. Lea Siliki,2
W. Khazri,J. Gnagnon,2
B. Andr\u00e9,J. Lea Siliki,2
H. Traor\u00e9,J. Lea Siliki,2
B. Andr\u00e9,J. Gnagnon,2
T. Koubek,J. Gnagnon,2
J. Gelin,W. Khazri,2
J. Gnagnon,R. Bensebaini,2
H. Traor\u00e9,J. Gelin,2
J. Lea Siliki,H. Traor\u00e9,1
J. Gnagnon,W. Khazri,1
I. Sarr,B. Bourigeaud,1
T. Koubek,D. Sakho,1
I. Sarr,J. Lea Siliki,1
J. Gelin,B. Bourigeaud,1
D. Sakho,B. Bourigeaud,1
J. Gelin,T. Koubek,1
B. Andr\u00e9,R. Bensebaini,1
R. Bensebaini,W. Khazri,1
B. Andr\u00e9,J. Gelin,1
W. Khazri,B. Bourigeaud,1
B. Bourigeaud,W. Khazri,1
W. Khazri,D. Sakho,1
B. Bourigeaud,J. Gnagnon,1
B. Bourigeaud,D. Sakho,1
T. Koubek,R. Bensebaini,1
J. Gnagnon,H. Traor\u00e9,1
B. Andr\u00e9,B. Bourigeaud,1
D. Sakho,J. Lea Siliki,1
W. Khazri,B. Andr\u00e9,1
B. Bourigeaud,I. Sarr,1
T. Koubek,W. Khazri,1
J. Gnagnon,T. Koubek,1
I. Sarr,R. Bensebaini,1
J. Lea Siliki,J. Gelin,1
H. Traor\u00e9,T. Koubek,1
J. Lea Siliki,B. Andr\u00e9,1
R. Bensebaini,J. Gnagnon,1
I. Sarr,J. Gnagnon,1
I. Sarr,W. Khazri,1
D. Sakho,W. Khazri,1
B. Andr\u00e9,I. Sarr,1
I. Sarr,J. Gelin,1
