Source,Target,Weight
A. Rami,Rolando,5
D\u00f3ria,L. Ocampos,4
Rolando,D\u00f3ria,3
V. Germain,A. Zambo Anguissa,3
M. Sanson,V. Germain,2
A. Zambo Anguissa,D\u00f3ria,2
B. Sarr,Luiz Gustavo,2
A. Rami,D\u00f3ria,2
Luiz Gustavo,F. Thauvin,2
Rolando,Luiz Gustavo,2
A. Zambo Anguissa,Rolando,2
F. Thauvin,A. Rami,2
L. Ocampos,Rolando,2
Rolando,A. Zambo Anguissa,2
D\u00f3ria,B. Sarr,2
Luiz Gustavo,L. Ocampos,2
Luiz Gustavo,B. Sarr,2
Rolando,A. Rami,2
D\u00f3ria,Luiz Gustavo,1
R. Cabella,A. Rami,1
A. Zambo Anguissa,B. Sarr,1
Luiz Gustavo,M. Sanson,1
B. Sarr,M. Sanson,1
A. Rami,S. Mandanda,1
R. Cabella,A. Zambo Anguissa,1
L. Ocampos,F. Thauvin,1
L. Ocampos,Luiz Gustavo,1
A. Zambo Anguissa,Luiz Gustavo,1
L. Ocampos,A. Zambo Anguissa,1
A. Rami,Luiz Gustavo,1
Luiz Gustavo,A. Rami,1
F. Thauvin,Luiz Gustavo,1
S. Mandanda,Luiz Gustavo,1
L. Ocampos,A. Rami,1
L. Ocampos,D\u00f3ria,1
A. Rami,V. Germain,1
D\u00f3ria,R. Cabella,1
Rolando,S. Mandanda,1
V. Germain,F. Thauvin,1
A. Zambo Anguissa,V. Germain,1
Luiz Gustavo,V. Germain,1
S. Mandanda,A. Rami,1
B. Sarr,F. Thauvin,1
B. Sarr,A. Zambo Anguissa,1
A. Zambo Anguissa,A. Rami,1
F. Thauvin,B. Sarr,1
A. Zambo Anguissa,L. Ocampos,1
Luiz Gustavo,A. Zambo Anguissa,1
M. Sanson,R. Cabella,1
V. Germain,A. Rami,1
L. Ocampos,M. Sanson,1
B. Sarr,L. Ocampos,1
