Name,Field Time,Position_DEF,Position_GKP,Position_MID,Foot_left,Foot_right,Position_FWD
J. Schlupp,75,1,0,0,1,0,0
J. McArthur,85,0,0,1,0,1,0
Y. Cabaye,86,0,0,1,0,1,0
J. Ward,90,1,0,0,0,1,0
L. Milivojevi\u0107,90,0,0,1,0,1,0
M. Sakho,90,1,0,0,1,0,0
P. van Aanholt,90,1,0,0,1,0,0
A. Townsend,90,0,0,1,1,0,0
S. Dann,90,1,0,0,0,1,0
J. Speroni,90,0,1,0,0,1,0
W. Zaha,90,0,0,1,0,1,0
J. Puncheon,15,0,0,1,1,0,0
T. Fosu-Mensah,5,1,0,0,0,1,0
J. Riedewald,4,1,0,0,1,0,0
