Source,Target,Weight
J. Hogg,A. Mooy,3
C. Schindler,J. Hogg,2
C. Schindler,J. L\u00f6ssl,2
A. Pritchard,C. Schindler,1
A. Mooy,R. van La Parra,1
R. van La Parra,C. Schindler,1
F. Hadergjonaj,A. Pritchard,1
M. J\u00f8rgensen,F. Hadergjonaj,1
J. Hogg,S. Malone,1
S. Malone,A. Pritchard,1
A. Pritchard,S. Malone,1
A. Mooy,A. Pritchard,1
A. Mooy,C. Schindler,1
A. Pritchard,J. Hogg,1
C. Schindler,R. van La Parra,1
S. Malone,A. Mooy,1
C. Schindler,M. J\u00f8rgensen,1
J. L\u00f6ssl,S. Mouni\u00e9,1
M. J\u00f8rgensen,J. Hogg,1
R. van La Parra,S. Malone,1
J. Hogg,M. J\u00f8rgensen,1
J. L\u00f6ssl,C. Schindler,1
S. Malone,J. Hogg,1
S. Malone,C. Schindler,1
F. Hadergjonaj,M. J\u00f8rgensen,1
A. Mooy,S. Mouni\u00e9,1
S. Mouni\u00e9,S. Malone,1
M. J\u00f8rgensen,C. Schindler,1
