Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
X. Shaqiri,73,0,0,0,1,0,1,0
M. Diouf,90,0,1,0,0,0,0,1
D. Fletcher,90,0,0,0,1,0,0,1
E. Choupo-Moting,90,0,1,0,0,1,0,0
R. Shawcross,90,1,0,0,0,0,0,1
L. Grant,90,0,0,1,0,0,0,1
E. Pieters,90,1,0,0,0,0,1,0
K. Zouma,90,1,0,0,0,0,0,1
J. Allen,90,0,0,0,1,0,0,1
K. Wimmer,90,1,0,0,0,0,1,0
Ramadan Sobhi,90,0,0,0,1,0,0,1
P. Crouch,17,0,1,0,0,0,0,1
